"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
9992,"MARAVILLA","9520 SEAWALL BLVD APT 311","GALVESTON"
9994,"MARAVILLA","9520 SEAWALL BLVD APT 334","GALVESTON"
10002,"MARAVILLA #308","9520 SEAWALL BLVD APT 308","GALVESTON"
9990,"MARAVILLA","9520 SEAWALL BLVD APT 304","GALVESTON"
10065,"MAYAN DUDE RANCH, INCORPORATED","350 MAYAN RANCH RD","BANDERA"
8915,"ISLANDER EAST RENTAL","415 E BEACH DR","GALVESTON"
8995,"JOHN NEWCOMBE TENNIS RANCH","HWY 46 WEST AT MISSION VALLEY ROAD","NEW BRAUNFELS"
12085,"SANGRIA","1400 GULF BLVD","SOUTH PADRE ISLAND"
7082,"FAMILY GARDENS INN & SUITES","5830 SAN BERNARDO AVE","LAREDO"
11702,"RIVER HAVEN CABINS","HIGHWAY 1120","LEAKEY"
4921,"CLIFFVIEW RESORT","180 COUNTY ROAD 1802","LAGUNA PARK"
9418,"LA QUINTA INN & SUITES MCALLEN LA PLAZA MALL","1120 S 10TH ST","MCALLEN"
12021,"SAND 'N SEA PROPERTIES INC","13716 TERMINI SAN LUIS PASS RD","GALVESTON"
1331,"BAY TREE TENNIS & YACHT CLUB","900 N STATION ST","PORT ARANSAS"
13551,"TERLINGUA RANCH","16000 TERLINGUA RANCH RD","ALPINE"
10119,"MESA INN CORP","4151 N MESA ST","EL PASO"
10085,"MEDICAL CENTER VISTOR'S LODGE","1025 SWANSON","HOUSTON"
5229,"CORAL MOTEL","6420 MONTANA AVE","EL PASO"
10240,"MODERN MOTEL","3421 S PADRE ISLAND DR","CORPUS CHRISTI"
7299,"GAIDO'S OF GALVESTON INC","3828 SEAWALL BLVD","GALVESTON"
11347,"RAMADA INN OF DEL RIO","2101 AVENUE F","DEL RIO"
8277,"HOLIDAY INN EXPRESS HOTEL & SUITES","7140 EASTEX FWY","BEAUMONT"
13933,"THE RIVER INN","HWY 39 SOUTHWEST OF HUNT","HUNT"
7555,"GULF SHORES CONDOMINIUM","6021 STATE HIGHWAY 361","PORT ARANSAS"
7192,"FONTANA MOTEL","3414 FREDERICKSBURG RD","SAN ANTONIO"
12496,"SIESTA INN 8 SUITES","4441 FREDERICKSBURG RD","SAN ANTONIO"
8937,"JACKSON MOTEL","5660 COLLEGE ST","BEAUMONT"
11099,"PLAZA HOTEL","904 1/2 W BARBOURS CUT BLVD","LA PORTE"
11682,"RIO MOTEL","1111 W MAIN ST","RIO GRANDE CITY"
16303,"VILLA CORPORATE","6468 CORPORATE DR","HOUSTON"
2153,"BUDGET INN MOTEL","5634 E PAISANO","EL PASO"
10741,"PADRE ISLAND RENTALS","3100 PADRE BLVD","SOUTH PADRE ISLAND"
9802,"LONG ISLAND VILLAGE OWNERS ASS INC","LONG ISLAND ADJ TO PORT ISABEL","PORT ISABEL"
12311,"SEAGULL CONDOMINIUM","6649 STATE HIGHWAY 361","PORT ARANSAS"
12227,"SEA ISLE II","1107 S 11TH ST","PORT ARANSAS"
6881,"EXECUTIVE KEYS CONDOMINIUM","820 BEACH ACCESS ROAD 1A","PORT ARANSAS"
12878,"SPRINGHILLS SUITES","411 BOWIE ST","SAN ANTONIO"
6994,"FAIRFIELD INN & SUITES","422 BONHAM","SAN ANTONIO"
10738,"PADRE GRAND CONDOMINIUMS","2100 GULF BLVD","SOUTH PADRE ISLAND"
12280,"SEABREEZE 1 HOMEOWNERS' ASSOCIATION INC","4300 GULF BLVD","SOUTH PADRE ISLAND"
12026,"SAND CASTLE CONDOMINIUM","800 SANDCASTLE DR","PORT ARANSAS"
9170,"KINGWOOD SUITES","401 S LINCOLN ST","FREDERICKSBRG"
7588,"HABITAT SUITES HOTEL","500 E HIGHLAND MALL BLVD","AUSTIN"
7567,"GULFVIEW I RENTALS","120 PADRE BLVD","SOUTH PADRE ISLAND"
1975,"BLUE SKIES OF TEXAS WEST","5100 JOHN D RYAN BLVD","SAN ANTONIO"
2052,"BRIDGEPOINT CONDOMINIUMS-PHASE I","334 PADRE BLVD","SOUTH PADRE ISLAND"
10547,"OBERG PROPERTY MANAGEMENT SERVICES INC","1107 RANCH ROAD 620 S","LAKEWAY"
12047,"SANDPIPER CONDOMINIUM","6745 STATE HIGHWAY 361","PORT ARANSAS"
8896,"ISLAND RETREAT CONDOMINIUMS","700 ISLAND RETREAT RD","PORT ARANSAS"
10407,"MUSTANG TOWERS","6109 STATE HIGHWAY 361","PORT ARANSAS"
6018,"CRYSTAL RIVER INN","326 W HOPKINS ST","SAN MARCOS"
1261,"BANDERA HIGHWAY","615 HIGHLAND DR","BANDERA"
2280,"CAMP WALDEMAR","1005 FM 1340","HUNT"
8897,"ISLAND RETREAT II CONDOMINIUM","700 ISLAND RETREAT RD","PORT ARANSAS"
12428,"SHELL MOTEL","1200 FISHER STREET","MATAGORDA"
12429,"SHELL MOTEL","778 MARKET STREET","MATAGORDA"
12135,"SCHLITTERBAHN RESORT AT THE RAPIDS","370 W LINCOLN","NEW BRAUNFELS"
12133,"SCHLITTERBAHN RESORT AT THE BAHN","305 W AUSTIN","NEW BRAUNFELS"
7499,"GRUENE PENTHOUSE","1247 GRUENE RD UNIT 304","NEW BRAUNFELS"
12299,"SEABREEZE BEACH RESORT INC","5400 GULF BLVD","SOUTH PADRE ISLAND"
8834,"ISLAND DUNES CONDOMINIUM","715 BEACH ACCESS ROAD 1A","PORT ARANSAS"
11726,"RIVER RUN CONDOMINIUMS","500 N MARKET ST","NEW BRAUNFELS"
12405,"SEVEN BLUFF CABINS INC","3RD RIVER CROSSING-FRIO RIVER","CONCAN"
6355,"DIXIE DUDE RANCH","833 DIXIE DUDE RANCH RD","BANDERA"
1251,"BALLPARK RENTAL","1006 WILDWOOD DR","ARLINGTON"
9091,"KENNEDALE RENTAL","409 FOUNTAIN CT","KENNEDALE"
9090,"KENNEDALE 5 BEDROOM","1011 OAKRIDGE CT","KENNEDALE"
14054,"TIARA ESTATE","14700 WHITE SETTLEMENT RD","FORT WORTH"
1139,"ARANSAS PRINCESS CONDOMINUM ASSOCIATION","720 BEACH ACCESS ROAD","PORT ARANSAS"
11779,"ROBSTOWN MOTOR INN","609 HWY 77 SOUTH","ROBSTOWN"
9884,"LUTHER HOTEL","408 S BAY BLVD","PALACIOS"
11310,"RADISSON SUITE INN","1770 AIRWAY BLVD","EL PASO"
8829,"ISLA GRAND BEACH RESORT","500 PADRE BLVD","SOUTH PADRE ISLAND"
6514,"ECHO MOTOR HOTEL","1903 S CLOSNER BLVD","EDINBURG"
11830,"ROSE GARDEN INN - MCALLEN","300 E EXPRESSWAY 83","MCALLEN"
16648,"WOT-150","150 WORLD OF TENNIS","AUSTIN"
16651,"WOT-197","197 WORLD OF TENNIS","AUSTIN"
16649,"WOT-160","160 WORLD OF TENNIS","AUSTIN"
16650,"WOT-185","185 WORLD OF TENNIS SQ","LAKEWAY"
16653,"WOT 145","145 WORLD OF TENNIS SQ","LAKEWAY"
16654,"WOT 162","162 WORLD OF TENNIS SQ","LAKEWAY"
252,"1918","1918 LAKEWAY BLVD","LAKEWAY"
16652,"WOT - 135","135 WORLD OF TENNIS SQ","LAKEWAY"
5132,"COMFORT SUITES","800 E EXPRESSWAY 83","MCALLEN"
1676,"BEST WESTERN DONNA INN & SUITES","495 W HWY 83","DONNA"
7293,"FURCRON PROPERTY MANAGEMENT CO","4800 PADRE BLVD","SOUTH PADRE ISLAND"
16678,"WYNDHAM GARDEN MCALLEN AT LA PLAZA MALL","1921 S 10TH ST","MCALLEN"
16364,"VINEYARD COURT EXECUTIVE SUITE","216 DOMINIK","COLLEGE STATION"
10367,"MOTEL 71","2500 E BEN WHITE BLVD","AUSTIN"
10955,"PEARL SOUTH PADRE","310 PADRE BLVD","SOUTH PADRE ISLAND"
13159,"SUNDAY HOUSE INN","501 E MAIN ST","FREDERICKSBURG"
13160,"SUNDAY HOUSE INN - KERRVILLE","2124 SIDNEY BAKER ST","KERRVILLE"
8265,"HOLIDAY INN EXPRESS HOTEL & SUITES","2114 SIDNEY BAKER","KERRVILLE"
8184,"HOLIDAY INN EXPRESS & SUITES","500 S WASHINGTON ST","FREDERICKSBURG"
6341,"DIETZEL MOTEL","1141 U.S. HWY 290 W","FREDERICKSBRG"
6743,"EMBASSY SUITES HOTEL","1800 S 2ND ST","MCALLEN"
7347,"GASTHAUS SCHMIDT","231 W MAIN ST","FREDERICKSBURG"
10649,"OMNI SAN ANTONIO HOTEL","9821 COLONNADE BLVD","SAN ANTONIO"
2472,"CASA CONDOMINIUM INC","4903 STATE HIGHWAY 361","PORT ARANSAS"
969,"AMGREEN-KARENA HOTEL","502 W DURANGO BLVD","SAN ANTONIO"
9658,"LAWNDALE","1926 E LAWNDALE DR","SAN ANTONIO"
11170,"PORTRAIT","10506 PORTRAIT CT","SAN ANTONIO"
2529,"CASA LAGO","2233 FREDWOODS DR","KINGSLAND"
10646,"OMNI HOUSTON HOTEL AT WESTSIDE","13210 KATY FWY","HOUSTON"
1775,"BEST WESTERN PLUS AUSTIN CITY HOTEL","2200 S I H 35","AUSTIN"
4901,"CLASSIC INN","4700 S CONGRESS","AUSTIN"
13946,"THE SAN ANTONIO YELLOW ROSE A BED AND BREAKFAST","229 MADISON","SAN ANTONIO"
1819,"BEST WESTERN POST OAK INN","908 BUCHANAN DR","BURNET"
5059,"COMFORT INN NEAR SEARWORLD","8731 STATE HIGHWAY 151","SAN ANTONIO"
6188,"DAYS INN ALAMO/DOWNTOWNER MOTEL","902 EAST HOUSTON STREET","SAN ANTONIO"
